Name,CountryCode,Population
Latur,IND,197408
Lauro de Freitas,BRA,109236
Le Mans,FRA,146105
Le-Cap-HaÃ¯tien,HTI,102233
Lecce,ITA,98208
Leeds,GBR,424194
LeganÃ©s,ESP,173163
Legazpi,PHL,157010
Legnica,POL,109335
Leicester,GBR,294000
Leipzig,DEU,489532
Leiyang,CHN,130115
Lengshuijiang,CHN,137994
Lerdo,MEX,112272
Lerma,MEX,99714
Les Abymes,GLP,62947
Leshan,CHN,341128
LeÃ³n,ESP,139809
Lhasa,CHN,120000
Lhokseumawe,IDN,109600
Liangcheng,CHN,156307
Lianyuan,CHN,118858
Lianyungang,CHN,354139
Liaoyang,CHN,492559
Liaoyuan,CHN,354141
Liepaja,LVA,89439
Ligao,PHL,90603
Likasi,COD,299118
Lille,FRA,184657
Lincoln,USA,225581
Linfen,CHN,187309
Linhares,BRA,106278
LinkÃ¶ping,SWE,133168
Linqing,CHN,123958
Linyi,CHN,324720
Lipa,PHL,218447
Lipetsk,RUS,521000
LiuÂ´an,CHN,144248
Liverpool,GBR,461000
Livonia,USA,100545
Livorno,ITA,161673
Lleida (LÃ©rida),ESP,112207
